marathon,year,date,city,Time,Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
boston,2002,04/15/2002,Boston MA,9:54 AM,52.0F,-,51.1F,97%,29.94in,0.5mi,North,6.9mph,-,N/A,Fog,Fog
boston,2002,04/15/2002,Boston MA,10:54 AM,51.1F,-,50.0F,96%,29.96in,0.5mi,NW,8.1mph,-,N/A,Fog,Fog
boston,2002,04/15/2002,Boston MA,11:54 AM,51.1F,-,50.0F,96%,29.97in,0.5mi,NNW,6.9mph,-,N/A,,Overcast
boston,2002,04/15/2002,Boston MA,12:54 PM,51.1F,-,48.9F,92%,29.96in,1.0mi,North,5.8mph,-,N/A,,Overcast
boston,2002,04/15/2002,Boston MA,1:54 PM,52.0F,-,48.9F,89%,29.97in,2.0mi,NNE,3.5mph,-,N/A,,Overcast
boston,2002,04/15/2002,Boston MA,3:01 PM,51.8F,-,48.2F,88%,29.96in,2.5mi,SE,9.2mph,-,N/A,,Overcast
boston,2002,04/15/2002,Boston MA,4:01 PM,48.2F,-,46.4F,93%,29.97in,1.5mi,SE,10.4mph,-,N/A,,Mostly Cloudy
boston,2001,04/16/2001,Worcester MA,9:54 AM,45.0F,40.6F,21.9F,40%,29.75in,10.0mi,NE,8.1mph,-,N/A,,Clear
boston,2001,04/16/2001,Worcester MA,10:54 AM,45.0F,-,21.0F,39%,29.75in,10.0mi,Calm,Calm,-,N/A,,Clear
boston,2001,04/16/2001,Worcester MA,11:54 AM,48.0F,-,19.0F,32%,29.74in,10.0mi,Variable,4.6mph,-,N/A,,Clear
boston,2001,04/16/2001,Worcester MA,12:54 PM,50.0F,-,21.0F,32%,29.73in,10.0mi,Variable,4.6mph,-,N/A,,Clear
boston,2001,04/16/2001,Worcester MA,1:54 PM,52.0F,-,17.1F,25%,29.71in,10.0mi,NNE,10.4mph,-,N/A,,Clear
boston,2001,04/16/2001,Worcester MA,2:54 PM,53.1F,-,15.1F,22%,29.69in,10.0mi,Calm,Calm,-,N/A,,Clear
boston,2001,04/16/2001,Worcester MA,3:54 PM,54.0F,-,12.9F,20%,29.68in,10.0mi,WNW,15.0mph,-,N/A,,Clear
boston,2001,04/16/2001,Boston MA,9:54 AM,46.0F,41.9F,30.9F,56%,29.77in,10.0mi,NE,8.1mph,-,N/A,,Mostly Cloudy
boston,2001,04/16/2001,Boston MA,10:54 AM,46.9F,-,37.0F,68%,29.76in,10.0mi,East,11.5mph,-,N/A,,Mostly Cloudy
boston,2001,04/16/2001,Boston MA,11:54 AM,46.9F,-,37.9F,71%,29.75in,10.0mi,East,15.0mph,-,N/A,,Mostly Cloudy
boston,2001,04/16/2001,Boston MA,12:54 PM,45.0F,38.5F,36.0F,71%,29.75in,10.0mi,ESE,13.8mph,-,N/A,,Overcast
boston,2001,04/16/2001,Boston MA,1:54 PM,46.9F,-,39.0F,74%,29.73in,10.0mi,ESE,13.8mph,-,N/A,,Overcast
boston,2001,04/16/2001,Boston MA,2:54 PM,46.9F,-,36.0F,66%,29.71in,10.0mi,ESE,12.7mph,-,N/A,,Overcast
boston,2001,04/16/2001,Boston MA,3:54 PM,46.9F,-,34.0F,61%,29.69in,10.0mi,ESE,12.7mph,-,N/A,,Overcast
